Tracker: Turn 13

Adventurers	Room	Damage	Treasure
Brawler		(1-2-0)	0		Gem, Armor

Total Active Creatures: 11

Creatures	Room
Blinker		(1-0-0)
Seeker		(3-1-1)
Blinker		(3-0-0)
Orbiter		(4-1-0)
Seeker		(4-1-0)
Blinker		(1-1-0)
Orbiter		(3-1-2)
Seeker		(2-2-1)
Blinker		(4-1-2)
Orbiter		(3-2-2)
Seeker		(2-1-0)
