Tracker: Turn 1

Adventurers	Room	Damage	Treasure
Brawler		(0-1-1)	-9		

Total Active Creatures: 12

Creatures	Room
Blinker		(3-2-0)
Orbiter		(4-1-2)
Seeker		(1-2-0)
Blinker		(2-2-0)
Orbiter		(2-0-2)
Seeker		(4-1-1)
Blinker		(1-1-2)
Orbiter		(2-0-0)
Seeker		(2-2-0)
Blinker		(3-0-1)
Orbiter		(4-1-2)
Seeker		(2-2-2)
